City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
105,Kindu,CD,2021-11-20 17:55:02,-2.95,25.95,73.35,91,80,1.92
106,Carnarvon,AU,2021-11-20 17:50:44,-24.8667,113.6333,71.67,83,40,9.22
107,Virginia Beach,US,2021-11-20 17:56:43,36.8529,-75.978,55.04,66,55,6.64
108,Nome,US,2021-11-20 17:53:03,64.5011,-165.4064,0.16,71,7,6.89
109,Kaitangata,NZ,2021-11-20 17:56:44,-46.2817,169.8464,51.15,97,97,0.98
110,San Juan,AR,2021-11-20 17:56:44,-31.5375,-68.5364,93.02,17,0,8.3
111,Tura,IN,2021-11-20 17:56:44,25.5198,90.2201,63.01,77,4,3.04
112,Pisco,PE,2021-11-20 17:54:07,-13.7,-76.2167,69.85,73,40,8.05
113,Touros,BR,2021-11-20 17:50:45,-5.1989,-35.4608,86.9,58,100,14.29
114,Popondetta,PG,2021-11-20 17:56:45,-8.7537,148.2534,73.33,95,48,2.68
115,Kondopoga,RU,2021-11-20 17:56:45,62.2057,34.2614,31.68,90,100,8.77
116,Itarema,BR,2021-11-20 17:56:46,-2.9248,-39.9167,86.97,60,74,17.87
117,Borogontsy,RU,2021-11-20 17:56:46,62.6683,131.1683,-25.37,100,77,0.47
118,Muskegon,US,2021-11-20 17:56:46,43.3,-86.1334,45.81,69,90,8.05
119,Katsuura,JP,2021-11-20 17:56:47,35.1333,140.3,55.51,75,12,6.44
120,Bengkulu,ID,2021-11-20 17:53:47,-3.8004,102.2655,76.42,89,91,4.09
121,Namibe,AO,2021-11-20 17:56:47,-15.1961,12.1522,70.43,73,75,11.5
122,Palu,ID,2021-11-20 17:56:47,-0.8917,119.8707,74.82,96,71,2.84
123,Georgetown,MY,2021-11-20 17:56:48,5.4112,100.3354,80.53,93,20,7.0
124,Kidal,ML,2021-11-20 17:56:48,18.4411,1.4078,85.01,17,86,10.33
125,The Valley,AI,2021-11-20 17:56:48,18.217,-63.0578,84.81,74,20,6.91
126,Barrow,US,2021-11-20 17:52:36,71.2906,-156.7887,1.42,85,20,8.05
127,Verkhoyansk,RU,2021-11-20 17:56:49,67.5447,133.385,-17.54,99,99,2.35
128,Atbasar,KZ,2021-11-20 17:56:49,51.8,68.3333,16.23,84,100,9.78
129,Margate,GB,2021-11-20 17:56:49,51.3813,1.3862,50.97,82,100,1.99
130,Bongandanga,CD,2021-11-20 17:56:50,1.5,21.05,75.76,73,83,3.69
131,Nicoya,CR,2021-11-20 17:56:50,10.1483,-85.452,83.75,69,16,2.59
132,Cabo San Lucas,MX,2021-11-20 17:54:35,22.8909,-109.9124,83.05,53,13,1.01
133,Isangel,VU,2021-11-20 17:50:45,-19.55,169.2667,73.9,81,92,3.06
134,Mount Pleasant,US,2021-11-20 17:53:42,32.7941,-79.8626,62.1,63,1,5.01
135,Saskylakh,RU,2021-11-20 17:57:51,71.9167,114.0833,-24.21,99,92,5.35
136,Iquique,CL,2021-11-20 17:57:51,-20.2208,-70.1431,66.24,65,49,9.35
137,Limanowa,PL,2021-11-20 17:57:51,49.7059,20.422,49.82,89,100,3.6
138,Clyde River,CA,2021-11-20 17:57:26,70.4692,-68.5914,8.83,85,40,24.16
