City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
138,Dasoguz,TM,41.8363,59.9666,37.35,75,53,6.91,broken clouds
139,Thinadhoo,MV,0.5333,72.9333,82.04,76,100,19.71,moderate rain
140,Severo-Kurilsk,RU,50.6789,156.125,37.71,82,95,15.01,overcast clouds
141,Bubaque,GW,11.2833,-15.8333,82.24,78,6,10.09,clear sky
142,Pestovo,RU,58.5938,35.8024,17.46,96,64,3.98,broken clouds
143,Jitra,MY,6.2681,100.4217,82.29,83,20,1.99,few clouds
144,Gusinoye Ozero,RU,51.1144,106.2614,9.43,81,97,2.86,overcast clouds
145,Hamilton,US,39.1834,-84.5333,31.98,68,1,6.91,clear sky
146,Olga,RU,43.7444,135.2892,24.67,48,38,16.06,scattered clouds
147,Suntar,RU,62.1444,117.6319,-14.84,96,41,2.66,scattered clouds
148,Sola,VU,-13.8833,167.55,82.72,75,24,13.22,few clouds
149,Tutoia,BR,-2.7619,-42.2744,79.93,83,83,10.04,broken clouds
150,Bredasdorp,ZA,-34.5322,20.0403,52.29,78,30,3.76,scattered clouds
151,Fairbanks,US,64.8378,-147.7164,2.1,61,90,16.11,light snow
152,Luderitz,NA,-26.6481,15.1594,59.23,86,5,13.53,clear sky
153,Longyearbyen,SJ,78.2186,15.6401,3.04,72,20,10.36,few clouds
154,Lang Son,VN,21.8333,106.7333,53.89,67,100,7.99,overcast clouds
155,Tynda,RU,55.1667,124.7167,1.94,72,100,7.07,overcast clouds
156,Leh,IN,34.1667,77.5833,13.06,52,0,3.74,clear sky
157,Muros,ES,42.7762,-9.0603,54.84,78,55,18.5,broken clouds
158,Sioux Lookout,CA,50.1001,-91.917,15.87,79,75,3.44,light snow
159,Sistranda,NO,63.7256,8.834,42.91,71,100,31.45,light rain
160,Yendi,GH,9.4427,-0.0099,76.06,33,24,1.54,few clouds
161,Teya,RU,60.3778,92.6267,28.08,90,97,12.26,overcast clouds
162,Dezful,IR,32.3811,48.4058,64.04,74,0,2.98,clear sky
163,Sur,OM,22.5667,59.5289,76.35,48,88,10.38,overcast clouds
164,Matagalpa,NI,12.9256,-85.9175,65.19,88,84,4.52,broken clouds
165,Tete,MZ,-16.1564,33.5867,84.29,65,0,6.91,clear sky
166,Zhigansk,RU,66.7697,123.3711,-19.71,96,100,9.04,overcast clouds
167,Coos Bay,US,43.3665,-124.2179,51.93,94,90,5.75,overcast clouds
168,Lipno,PL,52.8444,19.1785,33.1,85,10,11.43,clear sky
169,Campo Verde,BR,-20.4167,-54.0667,74.41,53,17,1.43,few clouds
170,Lavrentiya,RU,65.5833,-171.0,-1.37,92,10,9.62,clear sky
171,Pingliang,CN,35.5392,106.6861,43.92,22,0,1.61,clear sky
172,Harare,ZW,-17.8294,31.0539,64.44,86,100,4.68,moderate rain
173,Maputo,MZ,-25.9653,32.5892,71.28,92,75,4.61,light rain
174,Kuytun,RU,54.3419,101.5036,16.75,88,100,2.08,overcast clouds
175,Poum,NC,-20.2333,164.0167,78.4,72,100,1.81,overcast clouds
176,Soroti,UG,1.7146,33.6111,64.89,63,100,1.28,overcast clouds
177,Camacha,PT,33.0833,-16.3333,65.62,77,20,8.05,few clouds
178,Batouri,CM,4.4333,14.3667,68.63,89,29,2.06,scattered clouds
179,Follonica,IT,42.9263,10.7616,62.02,67,100,14.79,overcast clouds
180,Ostrovnoy,RU,68.0531,39.5131,23.86,88,56,2.57,broken clouds
181,Cidreira,BR,-30.1811,-50.2056,69.82,78,11,9.64,few clouds
182,Tabira,BR,-7.5908,-37.5394,73.44,73,58,10.42,broken clouds
183,Sassandra,CI,4.95,-6.0833,76.46,87,7,1.88,clear sky
184,Khanpur,PK,28.6453,70.6567,67.03,13,0,7.67,clear sky
185,Sao Filipe,CV,14.8961,-24.4956,80.67,61,0,8.68,clear sky
186,Oak Ridge,US,36.0104,-84.2696,38.32,64,1,8.05,clear sky
187,Sarangani,PH,5.4033,125.4636,83.66,77,100,21.85,overcast clouds
188,Naze,JP,28.3667,129.4833,63.52,64,80,14.18,broken clouds
189,Quatre Cocos,MU,-20.2078,57.7625,72.09,69,1,8.68,clear sky
190,Pimentel,PE,-6.8367,-79.9342,65.61,81,80,10.71,broken clouds
191,Makat,KZ,47.6469,53.3463,44.22,92,100,10.13,overcast clouds
192,Morgan City,US,29.6994,-91.2068,57.2,67,1,10.36,clear sky
193,Taureni,RO,46.2667,25.25,46.33,86,100,3.09,overcast clouds
194,Santa Cruz De La Palma,ES,28.6835,-17.7642,68.14,77,0,5.75,clear sky
195,Hithadhoo,MV,-0.6,73.0833,81.19,78,100,18.16,heavy intensity rain
196,Shimoda,JP,34.6667,138.95,61.16,57,1,28.3,clear sky
197,Umri,IN,26.5106,78.9367,66.92,28,0,5.17,clear sky
198,Vanimo,PG,-2.6741,141.3028,83.68,78,43,4.63,scattered clouds
199,Yar-Sale,RU,66.8333,70.8333,14.99,96,100,6.31,light snow
200,Kizukuri,JP,40.8061,140.3861,42.12,69,100,13.98,overcast clouds
201,Muromtsevo,RU,56.3724,75.2418,28.06,96,100,8.34,overcast clouds
202,Grafton,US,42.207,-71.6856,39.79,61,1,1.99,clear sky
203,Srednekolymsk,RU,67.45,153.6833,-30.23,99,75,4.54,broken clouds
204,Kantabanji,IN,20.4833,82.9167,77.16,73,6,0.38,clear sky
205,Qaqortoq,GL,60.7167,-46.0333,23.5,84,4,4.09,clear sky
206,Teguise,ES,29.0605,-13.564,62.82,82,0,1.14,clear sky
207,Churu,IN,28.3,74.95,67.55,17,0,5.75,clear sky
208,La Ronge,CA,55.1001,-105.2842,17.85,86,90,12.66,light shower snow
209,Moree,AU,-29.4667,149.85,84.22,48,40,13.8,scattered clouds
210,Vestmanna,FO,62.1564,-7.1664,45.52,93,90,19.57,overcast clouds
211,Sal Rei,CV,16.1833,-22.9167,75.76,80,9,18.52,clear sky
212,Saurimo,AO,-9.6608,20.3916,63.97,98,100,3.2,overcast clouds
213,Chuy,UY,-33.6971,-53.4616,64.9,64,8,16.42,clear sky
214,Balikpapan,ID,-1.2675,116.8289,85.19,74,20,4.61,few clouds
215,Port Blair,IN,11.6667,92.75,83.84,76,65,10.02,light rain
216,Opaka,BG,43.45,26.1667,41.25,75,95,2.71,overcast clouds
217,Lagoa,PT,39.05,-27.9833,64.85,86,45,19.55,scattered clouds
218,Cherskiy,RU,68.75,161.3,-32.35,100,27,2.73,scattered clouds
219,Banda Aceh,ID,5.5577,95.3222,82.9,72,94,7.67,overcast clouds
220,Sorada,IN,19.75,84.4333,79.54,79,10,1.43,clear sky
221,Paita,PE,-5.0892,-81.1144,65.16,83,34,6.04,scattered clouds
222,Plouzane,FR,48.3833,-4.6167,44.78,79,0,10.36,clear sky
223,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,88,91,14.88,overcast clouds
224,Olafsvik,IS,64.8945,-23.7142,40.55,61,61,18.48,light rain
225,Hofn,IS,64.2539,-15.2082,43.36,73,100,6.62,overcast clouds
226,Usinsk,RU,65.9939,57.5281,1.0,98,100,10.4,overcast clouds
227,Spalene Porici,CZ,49.6137,13.6056,32.52,80,7,1.14,clear sky
228,Hermanus,ZA,-34.4187,19.2345,52.81,80,15,9.04,few clouds
229,Bathsheba,BB,13.2167,-59.5167,79.41,78,40,11.5,scattered clouds
230,Urengoy,RU,65.9667,78.3667,16.72,95,100,11.12,light snow
231,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,37,0,8.05,clear sky
232,Palana,RU,59.1167,159.9667,21.38,70,63,9.35,broken clouds
233,Caravelas,BR,-17.7125,-39.2481,69.76,87,99,3.87,overcast clouds
234,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.15,70,48,4.76,scattered clouds
235,Ghanzi,BW,-21.5667,21.7833,67.5,20,82,8.14,broken clouds
236,Trincomalee,LK,8.5711,81.2335,81.01,80,92,5.77,overcast clouds
237,Portland,US,45.5234,-122.6762,46.72,89,90,4.61,overcast clouds
238,Alofi,NU,-19.0595,-169.9187,85.89,58,98,10.36,overcast clouds
239,Taoudenni,ML,22.6783,-3.9836,78.55,37,100,8.12,overcast clouds
240,Kavieng,PG,-2.5744,150.7967,83.8,77,58,12.46,light rain
241,Andros Town,BS,24.7,-77.7667,75.16,75,2,12.93,clear sky
242,Cockburn Town,TC,21.4612,-71.1419,81.1,76,4,12.19,clear sky
