City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
446,Cam Ranh,VN,75.16,light rain,11.9214,109.1591,OYO 598 Peony Hotel
448,Tanga,TZ,75.87,overcast clouds,-5.0667,39.1,Lulu Image Hotel
449,San Juan De Uraba,CO,78.44,overcast clouds,8.7592,-76.5297,Hotel Cerro De Zumba
450,Karratha,AU,89.6,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
453,Mayumba,GA,76.6,moderate rain,-3.432,10.6554,LIKWALE LODGE
457,Mangrol,IN,80.44,scattered clouds,21.1167,70.1167,Hotel The Royal Honours
458,Mount Gambier,AU,75.11,light rain,-37.8333,140.7667,The Commodore
459,Puerto Carreno,CO,78.37,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
462,Kavaratti,IN,81.14,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
471,Itarema,BR,80.29,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
476,Niamey,NE,77.29,clear sky,13.5137,2.1098,Soluxe Hotel Niamey
477,Antalaha,MG,75.34,light rain,-14.9003,50.2788,Hotel Vitasoa
490,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
491,Onverwacht,SR,77.0,few clouds,5.5833,-55.1833,"Overtoom, District Para, Paramaribo"
495,Luanda,AO,77.52,overcast clouds,-8.8368,13.2343,Hotel Fórum
500,Grand-Lahou,CI,78.21,few clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
503,Japura,ID,88.63,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
507,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
509,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
511,Cravo Norte,CO,77.9,few clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
514,The Valley,AI,80.1,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
517,Muli,MV,81.82,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
518,Gigmoto,PH,83.14,broken clouds,13.7796,124.39,Cj's Travellers Inn
520,Rantepao,ID,84.07,few clouds,-2.9701,119.8978,Hotel Luta Resort
522,San-Pedro,CI,76.96,clear sky,4.7485,-6.6363,Hotel Maria
528,Auki,SB,81.55,overcast clouds,-8.7676,160.7034,Auki Motel
535,Honiara,SB,87.28,scattered clouds,-9.4333,159.95,Heritage Park Hotel
536,Numan,NG,75.78,few clouds,9.4667,12.0333,Zangun Motel
537,Lorengau,PG,80.6,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
543,Angoram,PG,84.63,broken clouds,-4.0625,144.0661,
565,Codrington,AU,75.7,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
578,Kampong Thum,KH,82.09,broken clouds,12.7111,104.8887,Sambor Village Hotel
584,Santa Rosa,PH,88.09,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
585,Miandrivazo,MG,79.32,light rain,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
592,Kribi,CM,77.25,broken clouds,2.95,9.9167,La Grace Hôtel
598,Yola,NG,76.33,clear sky,9.2,12.4833,Muna Hotel
601,Akyab,MM,78.8,few clouds,20.15,92.9,Hotel Memory
607,Teknaf,BD,78.85,few clouds,20.8624,92.3058,Forestry Guesthouse
611,Port Macquarie,AU,75.88,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
613,Emerald,AU,80.74,overcast clouds,-23.5333,148.1667,The Irish Village
631,Pangkalanbuun,ID,88.97,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
635,Sika,GM,77.14,overcast clouds,13.3546,-16.345,
636,Koumac,NC,82.51,overcast clouds,-20.5667,164.2833,Le Monitel
637,Yeppoon,AU,78.58,scattered clouds,-23.1333,150.7333,Villa Mar Colina
638,Takoradi,GH,78.93,few clouds,4.8845,-1.7554,Raybow International Hotel
642,Natal,BR,80.82,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
649,Mucurapo,TT,79.25,broken clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
659,Tecoanapa,MX,79.39,clear sky,16.5167,-98.75,Hotel Manglares
660,Dharmabad,IN,76.57,overcast clouds,18.9,77.85,Ismail khan
663,Galesong,ID,89.62,clear sky,-5.3166,119.3661,Sapriadi Appy
666,Bairiki,KI,82.4,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
669,Ruteng,ID,77.2,few clouds,-8.6136,120.4721,Hotel FX 72
670,Miri,MY,82.54,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
